path,type,size,parent_directory
E:\GB\Calc\.git\logs\refs\heads\main,file,1243,E:\GB\Calc\.git\logs\refs\heads
E:\GB\Calc\.git\logs\refs\heads,directory,1243,E:\GB\Calc\.git\logs\refs
E:\GB\Calc\.git\logs\refs\remotes,directory,0,E:\GB\Calc\.git\logs\refs
E:\GB\Calc\.git\logs\refs\remotes\origin\main,file,886,E:\GB\Calc\.git\logs\refs\remotes\origin
E:\GB\Calc\.git\logs\refs\remotes\origin,directory,886,E:\GB\Calc\.git\logs\refs\remotes
E:\GB\Calc\.git\objects,directory,0,E:\GB\Calc\.git
E:\GB\Calc\.git\objects\03\7f9c6fde8afb9d3cbb164115a4ed9aef8beb9b,file,383,E:\GB\Calc\.git\objects\03
E:\GB\Calc\.git\objects\03,directory,383,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\09\3792aaee65ba33af7ed26334d339f41e71c8ad,file,205,E:\GB\Calc\.git\objects\09
E:\GB\Calc\.git\objects\09,directory,205,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\13\8f1d403cad16d864a1b079f66b6b60f2f41e11,file,89,E:\GB\Calc\.git\objects\13
E:\GB\Calc\.git\objects\13,directory,89,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\15\a85a785c24811ed05164a1025f87f6dd85d89a,file,194,E:\GB\Calc\.git\objects\15
E:\GB\Calc\.git\objects\15,directory,194,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\16\28343af0c5a1bee87b99b8c7fbdde378a8c3be,file,559,E:\GB\Calc\.git\objects\16
E:\GB\Calc\.git\objects\16,directory,559,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\1f\64e7646a7793727fb9d42d7505daade5bff7ee,file,94,E:\GB\Calc\.git\objects\1f
E:\GB\Calc\.git\objects\1f,directory,94,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\22\b892424032a82fe92e0d39a54239108e8409bf,file,160,E:\GB\Calc\.git\objects\22
E:\GB\Calc\.git\objects\22,directory,160,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\28\4a49240ec3bf81a552c99dc7f793867eae43a4,file,195,E:\GB\Calc\.git\objects\28
E:\GB\Calc\.git\objects\28,directory,195,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\31\c178e42f014e52d7e169ef2085904f0b71c205,file,152,E:\GB\Calc\.git\objects\31
E:\GB\Calc\.git\objects\31,directory,152,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\33\16eefcd4299af360d228c5460c372442cac98c,file,354,E:\GB\Calc\.git\objects\33
E:\GB\Calc\.git\objects\33,directory,354,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\34\5eb2597ca5225ff039679efb7ffd88a38dce9b,file,288,E:\GB\Calc\.git\objects\34
E:\GB\Calc\.git\objects\34\85403bf3131975a8a455cd93c31f6a6990e858,file,272,E:\GB\Calc\.git\objects\34
E:\GB\Calc\.git\objects\34,directory,560,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\36\a8b5a1449e7cf2223e9214b0cee70d8926b859,file,171,E:\GB\Calc\.git\objects\36
E:\GB\Calc\.git\objects\36,directory,171,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\38\5060389ad17ea45e2135a6af6f122680b8d5bd,file,136,E:\GB\Calc\.git\objects\38
E:\GB\Calc\.git\objects\38\d42f9da4813f3591bc897dfb66863f765ae7bf,file,279,E:\GB\Calc\.git\objects\38
E:\GB\Calc\.git\objects\38,directory,415,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\3b\8625e2eb992622e5457122a22d6e165d06d97c,file,1715,E:\GB\Calc\.git\objects\3b
E:\GB\Calc\.git\objects\3b,directory,1715,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\3e\08c094d8b1a95892783e09c214f6f5dc7e6fa0,file,618,E:\GB\Calc\.git\objects\3e
E:\GB\Calc\.git\objects\3e,directory,618,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\43\46fdb29f965050f4d476c7c78e7bb3b07db52e,file,22,E:\GB\Calc\.git\objects\43
E:\GB\Calc\.git\objects\43,directory,22,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\45\3604ab24af2a1707cf948ce828a8f0cf073b47,file,239,E:\GB\Calc\.git\objects\45
E:\GB\Calc\.git\objects\45,directory,239,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\4b\0c65b742535e82e4db4fd88c2e5eaf4e3b86cc,file,94,E:\GB\Calc\.git\objects\4b
E:\GB\Calc\.git\objects\4b,directory,94,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\51\e21b241b4ecd97c57dcd409a97655aa3c828f8,file,89,E:\GB\Calc\.git\objects\51
E:\GB\Calc\.git\objects\51,directory,89,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\58\99a43456f3d7b4911aaada951213c0af0c4ff2,file,58,E:\GB\Calc\.git\objects\58
E:\GB\Calc\.git\objects\58,directory,58,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\5a\3fc55326cb08b5268869ffc0e5aaf26c642763,file,56,E:\GB\Calc\.git\objects\5a
E:\GB\Calc\.git\objects\5a,directory,56,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\5f\eb98f8bbd9b5c32f3aab8616b211eb0223336e,file,617,E:\GB\Calc\.git\objects\5f
E:\GB\Calc\.git\objects\5f,directory,617,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\68\efd645a85cf48fa8dd263ce1dffdc6ea9c0692,file,552,E:\GB\Calc\.git\objects\68
E:\GB\Calc\.git\objects\68,directory,552,E:\GB\Calc\.git\objects
E:\GB\Calc\.git\objects\6c\0bc47371b92d38222aaaa97e1e73fc0ddea9c9,file,376,E:\GB\Calc\.git\objects\6c
E:\GB\Calc\.git\objects\6c,directory,376,E:\GB\Calc\.git\objects
